Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
47, HS-grad,9, Separated, Unmarried, Female,0,40
53, 5th-6th,3, Widowed, Unmarried, Female,0,30
57, Assoc-voc,11, Widowed, Unmarried, Female,0,38
20, Some-college,10, Never-married, Own-child, Male,0,24
21, Some-college,10, Never-married, Unmarried, Female,0,35
38, Bachelors,13, Married-civ-spouse, Husband, Male,15024,80
24, Some-college,10, Divorced, Not-in-family, Male,0,50
37, Some-college,10, Married-civ-spouse, Husband, Male,0,45
38, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
44, Masters,14, Married-civ-spouse, Husband, Male,0,40
39, 12th,8, Married-civ-spouse, Husband, Male,0,50
31, Bachelors,13, Never-married, Not-in-family, Female,0,45
34, HS-grad,9, Never-married, Unmarried, Female,0,40
35, Some-college,10, Married-civ-spouse, Husband, Male,0,40
46, Some-college,10, Divorced, Not-in-family, Male,0,50
36, HS-grad,9, Separated, Unmarried, Female,0,40
33, Assoc-voc,11, Divorced, Unmarried, Female,0,40
52, Bachelors,13, Married-civ-spouse, Husband, Male,0,60
43, Masters,14, Married-civ-spouse, Husband, Male,5013,45
29, HS-grad,9, Separated, Not-in-family, Male,0,35
18, 12th,8, Never-married, Own-child, Male,0,25
36, Assoc-acdm,12, Divorced, Unmarried, Female,0,35
58, Bachelors,13, Never-married, Not-in-family, Female,0,40
26, Some-college,10, Married-civ-spouse, Husband, Male,0,45
65, Some-college,10, Married-civ-spouse, Husband, Male,0,30
31, Bachelors,13, Never-married, Not-in-family, Male,0,40
57, Bachelors,13, Divorced, Not-in-family, Male,0,80
42, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
55, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
23, Some-college,10, Never-married, Unmarried, Female,0,25
42, Prof-school,15, Married-civ-spouse, Husband, Male,0,50
42, 9th,5, Married-civ-spouse, Husband, Male,0,40
35, Assoc-acdm,12, Never-married, Not-in-family, Male,0,40
36, HS-grad,9, Separated, Not-in-family, Male,0,40
26, Bachelors,13, Never-married, Own-child, Male,1055,40
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,32
52, Bachelors,13, Married-civ-spouse, Husband, Male,0,55
38, HS-grad,9, Married-civ-spouse, Husband, Male,0,64
47, Some-college,10, Never-married, Unmarried, Female,0,40
49, 10th,6, Separated, Unmarried, Female,0,40
58, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
47, 5th-6th,3, Married-civ-spouse, Husband, Male,0,50
52, Doctorate,16, Married-civ-spouse, Husband, Male,0,60
50, Doctorate,16, Separated, Not-in-family, Male,0,40
31, HS-grad,9, Divorced, Unmarried, Female,0,40
58, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
30, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
38, Some-college,10, Separated, Not-in-family, Female,0,45
29, Some-college,10, Never-married, Unmarried, Female,0,40
70, 9th,5, Widowed, Unmarried, Female,1111,15
44, 12th,8, Married-civ-spouse, Husband, Male,0,40
43, Masters,14, Never-married, Not-in-family, Male,0,38
27, Some-college,10, Married-civ-spouse, Husband, Male,3411,40
20, 11th,7, Married-spouse-absent, Own-child, Female,0,40
48, Some-college,10, Divorced, Not-in-family, Male,0,40
17, 11th,7, Never-married, Own-child, Female,0,20
17, 11th,7, Never-married, Own-child, Male,0,10
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
58, HS-grad,9, Widowed, Not-in-family, Male,0,50
29, HS-grad,9, Never-married, Own-child, Male,0,48
34, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
23, Some-college,10, Separated, Unmarried, Male,0,40
18, 11th,7, Never-married, Own-child, Female,0,5
66, 7th-8th,4, Never-married, Not-in-family, Male,0,4
45, Bachelors,13, Married-civ-spouse, Wife, Female,0,55
54, Some-college,10, Married-civ-spouse, Husband, Male,0,40
23, Bachelors,13, Never-married, Not-in-family, Female,0,20
25, Assoc-acdm,12, Never-married, Other-relative, Male,0,45
36, Bachelors,13, Never-married, Not-in-family, Male,0,50
31, Some-college,10, Married-civ-spouse, Husband, Male,0,40
36, Bachelors,13, Divorced, Unmarried, Female,0,35
19, HS-grad,9, Never-married, Own-child, Female,0,40
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,42
65, 11th,7, Married-civ-spouse, Husband, Male,9386,59
45, Some-college,10, Married-civ-spouse, Wife, Female,0,40
43, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
55, HS-grad,9, Married-civ-spouse, Husband, Male,0,72
42, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
46, Bachelors,13, Married-civ-spouse, Husband, Male,0,37
29, Bachelors,13, Married-civ-spouse, Husband, Male,7688,40
58, 10th,6, Married-civ-spouse, Husband, Male,0,40
33, Bachelors,13, Never-married, Not-in-family, Female,0,45
46, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
59, HS-grad,9, Married-civ-spouse, Wife, Female,0,38
34, HS-grad,9, Divorced, Unmarried, Male,0,40
53, Doctorate,16, Married-civ-spouse, Husband, Male,0,70
31, Some-college,10, Married-spouse-absent, Other-relative, Male,0,40
47, Bachelors,13, Divorced, Not-in-family, Female,0,50
23, Assoc-voc,11, Divorced, Not-in-family, Male,0,56
43, Some-college,10, Married-civ-spouse, Husband, Male,0,40
41, Some-college,10, Married-civ-spouse, Husband, Male,0,60
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
59, HS-grad,9, Married-civ-spouse, Husband, Male,0,16
21, HS-grad,9, Never-married, Not-in-family, Female,1055,40
41, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
18, Some-college,10, Never-married, Own-child, Male,0,33
68, 11th,7, Never-married, Unmarried, Male,0,20
50, Masters,14, Married-spouse-absent, Other-relative, Male,0,40
22, Some-college,10, Never-married, Own-child, Male,0,40
47, HS-grad,9, Married-civ-spouse, Wife, Female,0,75
24, Bachelors,13, Never-married, Own-child, Male,0,40
42, 11th,7, Married-civ-spouse, Husband, Male,0,15
73, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
72, 11th,7, Widowed, Not-in-family, Female,0,24
62, Bachelors,13, Widowed, Not-in-family, Female,0,48
40, HS-grad,9, Divorced, Not-in-family, Female,0,50
46, HS-grad,9, Married-civ-spouse, Husband, Male,0,50
48, Doctorate,16, Divorced, Own-child, Male,0,50
34, HS-grad,9, Never-married, Own-child, Female,0,40
28, Some-college,10, Married-civ-spouse, Husband, Male,0,70
29, Bachelors,13, Separated, Own-child, Male,0,40
71, Masters,14, Married-civ-spouse, Husband, Male,10605,40
51, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
63, Some-college,10, Married-civ-spouse, Husband, Male,0,15
33, Some-college,10, Married-civ-spouse, Husband, Male,0,60
54, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
48, Some-college,10, Divorced, Unmarried, Female,0,30
35, Bachelors,13, Never-married, Not-in-family, Male,0,40
42, Prof-school,15, Married-civ-spouse, Husband, Male,0,65
63, 7th-8th,4, Married-civ-spouse, Husband, Male,0,55
51, 9th,5, Married-civ-spouse, Husband, Male,0,20
27, Assoc-acdm,12, Married-civ-spouse, Own-child, Male,0,40
37, HS-grad,9, Divorced, Own-child, Male,0,10
53, 10th,6, Married-civ-spouse, Husband, Male,0,60
67, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
81, HS-grad,9, Married-civ-spouse, Husband, Male,0,30
64, HS-grad,9, Married-civ-spouse, Husband, Male,0,5
19, Some-college,10, Never-married, Own-child, Female,0,10
51, Preschool,1, Married-civ-spouse, Husband, Male,0,40
38, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
54, Some-college,10, Divorced, Unmarried, Female,0,35
36, Bachelors,13, Married-civ-spouse, Wife, Female,0,45
44, Some-college,10, Divorced, Unmarried, Male,0,40
44, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
44, Some-college,10, Married-civ-spouse, Husband, Male,0,70
33, 10th,6, Divorced, Not-in-family, Male,0,40
33, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
35, Some-college,10, Married-civ-spouse, Husband, Male,0,60
55, HS-grad,9, Married-civ-spouse, Husband, Male,0,20
36, Assoc-voc,11, Widowed, Not-in-family, Female,0,20
40, Masters,14, Married-civ-spouse, Husband, Male,0,35
23, HS-grad,9, Never-married, Unmarried, Female,0,40
60, HS-grad,9, Never-married, Unmarried, Male,0,42
45, HS-grad,9, Widowed, Not-in-family, Male,0,40
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,30
48, Bachelors,13, Divorced, Unmarried, Male,0,58
39, Bachelors,13, Married-civ-spouse, Husband, Male,15024,50
38, HS-grad,9, Married-civ-spouse, Wife, Female,0,40
23, Bachelors,13, Never-married, Own-child, Female,0,60
39, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
54, HS-grad,9, Married-civ-spouse, Husband, Male,15024,52
19, HS-grad,9, Never-married, Own-child, Male,0,30
48, Masters,14, Married-civ-spouse, Husband, Male,0,35
48, Masters,14, Married-spouse-absent, Not-in-family, Male,0,50
20, Assoc-acdm,12, Never-married, Own-child, Male,0,20
76, 7th-8th,4, Widowed, Not-in-family, Male,0,2
19, HS-grad,9, Never-married, Unmarried, Male,0,40
66, 9th,5, Married-civ-spouse, Husband, Male,1409,1
34, 11th,7, Married-civ-spouse, Wife, Female,0,8
64, Assoc-acdm,12, Never-married, Not-in-family, Female,0,20
53, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
52, Some-college,10, Married-civ-spouse, Husband, Male,0,55
30, 12th,8, Married-civ-spouse, Husband, Male,0,75
49, Masters,14, Married-civ-spouse, Husband, Male,0,40
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,35
22, Bachelors,13, Never-married, Own-child, Female,0,20
48, Doctorate,16, Married-civ-spouse, Wife, Female,0,46
19, Some-college,10, Never-married, Own-child, Male,0,20
43, Assoc-voc,11, Married-civ-spouse, Wife, Female,0,40
19, HS-grad,9, Divorced, Not-in-family, Female,0,35
58, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
41, Some-college,10, Married-civ-spouse, Husband, Male,0,40
41, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,40
44, Bachelors,13, Never-married, Not-in-family, Male,0,50
22, Bachelors,13, Never-married, Own-child, Male,0,20
19, HS-grad,9, Never-married, Own-child, Female,0,40
29, HS-grad,9, Married-civ-spouse, Wife, Female,0,25
68, 7th-8th,4, Married-civ-spouse, Husband, Male,0,8
45, Bachelors,13, Married-civ-spouse, Husband, Male,0,60
39, 9th,5, Married-civ-spouse, Husband, Male,0,40
34, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0,25
34, HS-grad,9, Divorced, Unmarried, Female,0,33
35, Masters,14, Married-civ-spouse, Husband, Male,0,45
37, Bachelors,13, Never-married, Not-in-family, Male,0,38
60, Assoc-voc,11, Married-civ-spouse, Husband, Male,0,70
58, Bachelors,13, Married-civ-spouse, Wife, Female,0,40
45, HS-grad,9, Divorced, Not-in-family, Female,4865,40
34, Some-college,10, Married-civ-spouse, Husband, Male,0,38
63, HS-grad,9, Widowed, Not-in-family, Male,0,40
41, Some-college,10, Divorced, Unmarried, Male,0,45
34, HS-grad,9, Divorced, Not-in-family, Female,0,40
42, Some-college,10, Divorced, Unmarried, Male,0,40
46, Masters,14, Married-civ-spouse, Husband, Male,0,45
35, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
59, HS-grad,9, Widowed, Unmarried, Female,0,40
56, Some-college,10, Married-civ-spouse, Husband, Male,0,60
30, Some-college,10, Never-married, Not-in-family, Female,0,60
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,35
50, HS-grad,9, Married-civ-spouse, Husband, Male,7298,40
24, Some-college,10, Never-married, Not-in-family, Male,0,40
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
28, Masters,14, Married-civ-spouse, Wife, Female,0,50
22, Some-college,10, Never-married, Own-child, Female,0,8
88, Prof-school,15, Married-civ-spouse, Husband, Male,0,40
58, Some-college,10, Married-civ-spouse, Husband, Male,0,40
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,48
24, 11th,7, Never-married, Not-in-family, Male,0,45
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
51, Masters,14, Married-civ-spouse, Husband, Male,0,40
59, Some-college,10, Never-married, Own-child, Female,0,40
24, Bachelors,13, Never-married, Not-in-family, Female,0,65
27, Bachelors,13, Never-married, Own-child, Male,0,35
49, Bachelors,13, Divorced, Not-in-family, Female,0,40
51, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0,60
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,80
30, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
61, Masters,14, Married-civ-spouse, Husband, Male,0,40
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
22, Some-college,10, Never-married, Own-child, Male,0,30
44, Some-college,10, Married-civ-spouse, Husband, Male,5178,60
63, Bachelors,13, Widowed, Not-in-family, Female,0,40
48, Some-college,10, Married-civ-spouse, Husband, Male,7688,40
33, HS-grad,9, Divorced, Not-in-family, Female,0,41
45, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
42, Some-college,10, Married-civ-spouse, Husband, Male,0,60
75, Prof-school,15, Married-civ-spouse, Husband, Male,0,35
52, HS-grad,9, Divorced, Unmarried, Female,0,40
41, HS-grad,9, Married-civ-spouse, Other-relative, Female,0,40
36, HS-grad,9, Widowed, Not-in-family, Female,0,40
65, HS-grad,9, Married-civ-spouse, Husband, Male,0,59
38, Some-college,10, Never-married, Not-in-family, Male,0,12
54, Prof-school,15, Married-civ-spouse, Husband, Male,99999,60
51, Masters,14, Married-civ-spouse, Husband, Male,15024,50
48, Some-college,10, Married-civ-spouse, Husband, Male,0,60
52, HS-grad,9, Divorced, Not-in-family, Female,0,43
28, Some-college,10, Never-married, Not-in-family, Male,0,40
43, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
37, Some-college,10, Separated, Not-in-family, Male,0,40
69, Assoc-voc,11, Widowed, Not-in-family, Female,0,1
22, Some-college,10, Never-married, Own-child, Male,0,35
50, Some-college,10, Married-civ-spouse, Husband, Male,0,35
44, Bachelors,13, Divorced, Not-in-family, Male,0,40
51, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
42, Assoc-acdm,12, Divorced, Unmarried, Female,0,40
65, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
47, Bachelors,13, Married-civ-spouse, Husband, Male,15024,50
58, 12th,8, Married-civ-spouse, Husband, Male,0,40
63, 1st-4th,2, Widowed, Unmarried, Female,0,30
44, Some-college,10, Never-married, Own-child, Male,0,40
29, Some-college,10, Never-married, Not-in-family, Male,0,60
58, Some-college,10, Married-civ-spouse, Wife, Female,0,40
36, Prof-school,15, Married-civ-spouse, Husband, Male,0,50
45, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
20, Some-college,10, Never-married, Not-in-family, Female,0,25
35, Assoc-acdm,12, Never-married, Not-in-family, Male,0,55
41, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
61, HS-grad,9, Widowed, Unmarried, Female,1471,35
17, 10th,6, Never-married, Own-child, Male,0,20
38, Some-college,10, Married-civ-spouse, Husband, Male,0,40
28, Prof-school,15, Never-married, Unmarried, Male,0,40
59, HS-grad,9, Never-married, Own-child, Male,0,40
61, Bachelors,13, Married-civ-spouse, Husband, Male,0,50
17, 11th,7, Never-married, Own-child, Female,0,30
62, 7th-8th,4, Married-civ-spouse, Husband, Male,3411,50
32, Bachelors,13, Married-civ-spouse, Husband, Male,7688,50
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
31, Assoc-voc,11, Never-married, Not-in-family, Female,0,40
49, HS-grad,9, Divorced, Unmarried, Female,0,40
53, Some-college,10, Widowed, Not-in-family, Female,0,40
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,6
46, Bachelors,13, Married-civ-spouse, Husband, Male,0,52
43, Assoc-voc,11, Never-married, Not-in-family, Female,0,35
44, HS-grad,9, Married-civ-spouse, Husband, Male,0,55
25, Bachelors,13, Never-married, Not-in-family, Male,0,45
37, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
40, Some-college,10, Divorced, Other-relative, Male,0,70
19, Some-college,10, Never-married, Own-child, Male,0,40
40, 7th-8th,4, Married-civ-spouse, Husband, Male,0,40
19, HS-grad,9, Never-married, Unmarried, Female,0,40
54, Masters,14, Married-civ-spouse, Husband, Male,0,50
42, HS-grad,9, Divorced, Unmarried, Female,0,32
39, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0,50
43, HS-grad,9, Married-civ-spouse, Husband, Male,0,78
52, 10th,6, Married-civ-spouse, Husband, Male,0,60
28, Some-college,10, Married-civ-spouse, Husband, Male,0,20
19, Some-college,10, Never-married, Own-child, Male,0,50
53, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
45, Bachelors,13, Married-civ-spouse, Husband, Male,4386,35
18, Some-college,10, Never-married, Own-child, Female,594,15
35, Some-college,10, Never-married, Not-in-family, Male,0,40
58, 10th,6, Married-civ-spouse, Wife, Female,0,40
36, Assoc-acdm,12, Married-civ-spouse, Wife, Female,0,40
41, Masters,14, Divorced, Unmarried, Female,0,35
50, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
61, HS-grad,9, Married-civ-spouse, Husband, Male,0,16
56, HS-grad,9, Married-civ-spouse, Husband, Male,0,60
45, Some-college,10, Married-civ-spouse, Husband, Male,5013,40
44, HS-grad,9, Married-civ-spouse, Husband, Male,0,66
44, Some-college,10, Married-civ-spouse, Husband, Male,0,50
17, 10th,6, Never-married, Own-child, Male,1055,30
49, Masters,14, Married-civ-spouse, Husband, Male,0,50
76, HS-grad,9, Widowed, Not-in-family, Female,0,2
41, Prof-school,15, Married-civ-spouse, Husband, Male,0,60
48, HS-grad,9, Married-civ-spouse, Husband, Male,7688,40
70, HS-grad,9, Married-civ-spouse, Husband, Male,0,40
28, Bachelors,13, Never-married, Not-in-family, Female,0,40
69, Masters,14, Married-civ-spouse, Husband, Male,0,11
33, Some-college,10, Never-married, Not-in-family, Male,0,35
43, HS-grad,9, Married-spouse-absent, Not-in-family, Male,0,40
53, HS-grad,9, Married-civ-spouse, Husband, Male,99999,40
43, Bachelors,13, Married-civ-spouse, Husband, Male,0,40
57, HS-grad,9, Divorced, Unmarried, Female,0,40
53, HS-grad,9, Married-civ-spouse, Husband, Male,15024,35
28, 11th,7, Married-civ-spouse, Husband, Male,0,50
36, Some-college,10, Married-civ-spouse, Husband, Male,0,55
